Nodes_16,Input_2000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_12000,ScatteringOrder_l9,Nodes_64,Energy
1,1,1,31.25800625,100.1668188,32,1,0,0,0,0,0,1,16,16,1,4,55,0,1.19E+11,5.0563,615384406.5,2.4518,33.2656,1602.6691,500.1281,9.8216,0,0,0,20652.83298
1,1,1,31.3552875,108.8694563,32,1,0,0,0,0,0,1,16,16,1,4,60,0,1.17E+11,5.4158,615089895.8,2.6168,35.5574,1741.9113,501.6846,9.0203,0,0,0,20237.9081
1,1,1,31.93495625,117.3499125,32,1,0,0,0,0,0,1,16,16,1,4,65,0,1.10E+11,5.7242,614512261,2.7582,36.0915,1877.5986,510.9593,8.0091,0,0,0,19130.19908
1,1,1,31.97809375,119.522225,32,1,0,0,0,0,0,1,16,16,1,4,70,0,1.09E+11,5.8067,614372718.6,2.7918,36.4977,1912.3556,511.6495,7.8089,0,0,0,18928.81343
1,1,1,31.8484,120.3373,32,1,0,0,0,0,0,1,16,16,1,4,75,0,1.09E+11,5.8062,614098022.1,2.7997,38.1223,1925.3968,509.5744,7.8088,0,0,0,19014.20311
1,1,1,31.94293125,120.9662813,32,1,0,0,0,0,0,1,16,16,1,4,80,0,1.09E+11,5.7984,614243973.3,2.8004,37.493,1935.4605,511.0869,7.8089,0,0,0,19104.84399
1,1,1,32.043775,120.9022625,32,1,0,0,0,0,0,1,16,16,1,4,85,0,1.09E+11,5.8133,614240261.8,2.8003,37.3852,1934.4362,512.7004,7.8088,0,0,0,19109.20028
1,1,1,31.88783125,121.1126063,32,1,0,0,0,0,0,1,16,16,1,4,90,0,1.08E+11,5.7827,614377302.8,2.8003,38.7285,1937.8017,510.2053,7.8088,0,0,0,19115.99706
1,1,1,31.86290625,121.5942938,32,1,0,0,0,0,0,1,16,16,1,4,95,0,1.09E+11,5.8134,614446418.9,2.8003,38.959,1945.5087,509.8065,7.8088,0,0,0,19173.06533
1,1,1,31.74876875,120.2627125,32,1,0,0,0,0,0,1,16,16,1,4,100,0,1.09E+11,5.6959,614189489.9,2.8,38.2293,1924.2034,507.9803,8.0089,0,0,0,19479.11603
